name,networth,country,source,rank,age,residence,citizenship,status,children,education,self_made,degree,university,longitude,latitude,combined
Pieter van der Does,2.6,Netherlands,payments software,1205,52.0,"Amsterdam, Netherlands",Netherlands,Married,,,True,,,4.8936041,52.3727598,pieter-van-der-does
Wim van der Leegte,2.6,Netherlands,manufacturing,1205,73.0,"Eindhoven, Netherlands",Netherlands,Married,3.0,,False,,,5.478633,51.4392648,wim-van-der-leegte
Evan Williams,2.6,United States,Twitter,1205,49.0,"San Francisco, California",United States,Married,2.0,"Drop Out, University of Nebraska Lincoln",True,Drop Out, University of Nebraska Lincoln,-122.419906,37.7790262,evan-williams
Wu Guangming,2.6,China,medical equipment,1205,59.0,"Danyang, China",China,Married,1.0,"EMBA, China Europe International Business School",True,EMBA, China Europe International Business School,119.6012702,32.0109736,wu-guangming
Yang Yuanxi,2.6,China,video streaming app,1205,,"Beijing, China",China,,,,True,,,116.3912757,39.906217,yang-yuanxi
Yu Qibing & family,2.6,China,glass,1205,55.0,"Ningbo, China",China,,,,True,,,121.6203873,29.8622194,yu-qibing
Charles Zegar,2.6,United States,Bloomberg LP,1205,73.0,"New York, New York",United States,Married,,"Bachelor of Arts/Science, Long Island University; Master of Science, New York University",True,Bachelor of Arts/Science," Long Island University; Master of Science, New York University",-74.00601519999999,40.7127281,charles-zegar
Zhaojiang Zhu,2.6,China,Smartphones,1205,47.0,"Shenzhen, China",China,,,,True,,,114.0543297,22.555454,zhaojiang-zhu
John Arrillaga,2.5,United States,real estate,1249,84.0,"Portola Valley, California",United States,"Widowed, Remarried",2.0,"Bachelor of Arts/Science, Stanford University",True,Bachelor of Arts/Science, Stanford University,-122.219047,37.3736298,john-arrillaga
Carol Jenkins Barnett,2.5,United States,Publix supermarkets,1249,64.0,"Lakeland, Florida",United States,Married,2.0,"Bachelor of Arts/Science, Florida Southern College",False,Bachelor of Arts/Science, Florida Southern College,-81.9498042,28.0394654,carol-jenkins-barnett
William Berkley,2.5,United States,insurance,1249,74.0,"Coconut Grove, Florida",United States,Married,3.0,"Master of Business Administration, Harvard University; Bachelor of Arts/Science, New York University",True,Master of Business Administration," Harvard University; Bachelor of Arts/Science, New York University",-80.2388468,25.7398164,william-berkley
Markus Blocher,2.5,Switzerland,chemicals,1249,50.0,"Wilen bei Wollerau, Switzerland",Switzerland,,7.0,,False,,,8.734379499999999,47.1976363,markus-blocher
Andrei Bokarev,2.5,Russia,"metals, mining",1249,54.0,"Moscow, Russia",Russia,Married,1.0,"Bachelor of Arts/Science, Finance Academy under the Government of the Russian Federation",True,Bachelor of Arts/Science, Finance Academy under the Government of the Russian Federation,37.6174943,55.7504461,andrei-bokarev
Jim Breyer,2.5,United States,venture capital,1249,59.0,"Austin, Texas",United States,Married,3.0,"Master of Business Administration, Harvard Business School; Bachelor of Arts/Science, Stanford University",True,Master of Business Administration," Harvard Business School; Bachelor of Arts/Science, Stanford University",-97.74369950000001,30.2711286,jim-breyer
Charles Bronfman,2.5,Canada,liquor,1249,89.0,"Montreal, Canada",Canada,"Widowed, Remarried",2.0,"Bachelor of Arts/Science, McGill University",False,Bachelor of Arts/Science, McGill University,-73.61036420000001,45.4972159,charles-bronfman
Byju Raveendran and Divya Gokulnath,2.5,India,education technology,1249,39.0,"Bangalore, India",India,Married,2.0,,True,,,77.59129969999999,12.9791198,byju-raveendran-and-divya-gokulnath
Chang Jing,2.5,China,technology,1249,38.0,"Beijing, China",China,,,,True,,,116.3912757,39.906217,chang-jing
Leon G. Cooperman,2.5,United States,hedge funds,1249,78.0,"Boca Raton, Florida",United States,Married,2.0,"Master of Business Administration, Columbia Business School; Bachelor of Arts/Science, Hunter College",True,Master of Business Administration," Columbia Business School; Bachelor of Arts/Science, Hunter College",-80.0830984,26.3586885,leon-g.-cooperman
Jose Luis Cutrale,2.5,Brazil,orange juice,1249,74.0,"Sao Paulo, Brazil",Brazil,Married,2.0,,False,,,-46.6333824,-23.5506507,jose-luis-cutrale
Gerald Ford,2.5,United States,banking,1249,76.0,"Dallas, Texas",United States,Married,6.0,"Bachelor of Arts/Science, Southern Methodist University; Doctor of Jurisprudence, Southern Methodist University",True,Bachelor of Arts/Science," Southern Methodist University; Doctor of Jurisprudence, Southern Methodist University",-96.7968559,32.7762719,gerald-ford
Phillip Frost,2.5,United States,pharmaceuticals,1249,84.0,"Miami Beach, Florida",United States,Married,,"Bachelor of Arts/Science, University of Pennsylvania; Medical Doctor, Yeshiva U Albert Einstein College of Medicine",True,Bachelor of Arts/Science," University of Pennsylvania; Medical Doctor, Yeshiva U Albert Einstein College of Medicine",-80.13530059999999,25.7929198,phillip-frost
Mikhail Gutseriev,2.5,Russia,"oil, real estate",1249,63.0,"Moscow, Russia",Russia,Married,2.0,"Bachelor of Arts/Science, Kazakh Technological Institute",True,Bachelor of Arts/Science, Kazakh Technological Institute,37.6174943,55.7504461,mikhail-gutseriev
Hans-Werner Hector,2.5,Germany,SAP,1249,81.0,"Weinheim, Germany",Germany,Married,,"Master of Science, University of Saarland",True,Master of Science, University of Saarland,8.6717458,49.5462349,hans-werner-hector
Hu Kun,2.5,China,medical equipment,1249,51.0,"Qinhuangdao, China",China,,,,True,,,119.5894129,39.9395724,hu-kun
"Jeremy Jacobs, Sr. & family",2.5,United States,food service,1249,81.0,"East Aurora, New York",United States,Married,6.0,"Bachelor of Arts/Science, SUNY Buffalo",False,Bachelor of Arts/Science, SUNY Buffalo,-78.6177611,42.7689141,"jeremy-jacobs,-sr."
Mark & Robyn Jones,2.5,United States,insurance,1249,,"Westlake, Texas",United States,Married,6.0,,True,,,-97.1943701,32.991226,mark-robyn-jones
Hans Langer,2.5,Germany,3D printing,1249,69.0,Germany,Germany,Married,2.0,,True,,,10.4234469,51.0834196,hans-langer
Lee Hae-jin,2.5,South Korea,Internet,1249,53.0,"Seoul, South Korea",South Korea,Married,2.0,"Master of Science, Korea Advanced Institute of Science and Technology; Bachelor of Arts/Science, Seoul National University",True,Master of Science," Korea Advanced Institute of Science and Technology; Bachelor of Arts/Science, Seoul National University",126.9782914,37.5666791,lee-hae-jin
Liang Feng,2.5,China,manufacturing,1249,52.0,"Shanghai, China",China,Married,,,True,,,121.4692071,31.2322758,liang-feng
Lin Ming-hsiung,2.5,Taiwan,supermarkets,1249,71.0,"Taipei, Taiwan",Taiwan,Married,2.0,,True,,,121.5636796,25.0375198,lin-ming-hsiung
Mohamed Mansour,2.5,Egypt,diversified,1249,73.0,"Cairo, Egypt",Egypt,Married,2.0,"Master of Business Administration, Auburn University",True,Master of Business Administration, Auburn University,31.2357257,30.0443879,mohamed-mansour
Harsh Mariwala,2.5,India,consumer goods,1249,69.0,"Mumbai, India",India,Married,2.0,"Bachelor of Arts/Science, Bombay University",False,Bachelor of Arts/Science, Bombay University,72.8773928,19.0759899,harsh-mariwala
Najib Mikati,2.5,Lebanon,telecom,1249,65.0,"Beirut, Lebanon",Lebanon,Married,3.0,"Bachelor of Arts/Science, American University of Beirut, Lebanon; Master of Business Administration, American University of Beirut, Lebanon",True,Bachelor of Arts/Science," American University of Beirut, Lebanon; Master of Business Administration, American University of Beirut, Lebanon",35.47843,33.8959203,najib-mikati
Taha Mikati,2.5,Lebanon,telecom,1249,76.0,"Beirut, Lebanon",Lebanon,Married,3.0,"Bachelor of Arts/Science, American University of Beirut, Lebanon",True,Bachelor of Arts/Science," American University of Beirut, Lebanon",35.47843,33.8959203,taha-mikati
Pedro Moreira Salles,2.5,Brazil,"banking, minerals",1249,61.0,"Sao Paulo, Brazil",Brazil,Married,2.0,"Bachelor of Arts/Science, University of California, Los Angeles",False,Bachelor of Arts/Science," University of California, Los Angeles",-46.6333824,-23.5506507,pedro-moreira-salles
José Neves,2.5,Portugal,luxury fashion,1249,46.0,"London, United Kingdom",Portugal,,,,True,,,-0.1276474,51.5073219,josé-neves
Jerry Ng,2.5,Indonesia,banking,1249,56.0,"Jakarta, Indonesia",Indonesia,,,"Bachelor of Business Administration, University of Washington",True,Bachelor of Business Administration, University of Washington,106.827183,-6.1753942,jerry-ng
Nandan Nilekani,2.5,India,software services,1249,65.0,"Bangalore, India",India,Married,2.0,"Bachelor of Arts/Science, Indian Institute of Technology",True,Bachelor of Arts/Science, Indian Institute of Technology,77.59129969999999,12.9791198,nandan-nilekani
Ravi Pillai,2.5,India,construction,1249,67.0,"Dubai, United Arab Emirates",India,Married,2.0,,True,,,55.1885387,25.0742823,ravi-pillai
Victor Pinchuk,2.5,Ukraine,"steel pipes, diversified",1249,60.0,"Kiev, Ukraine",Ukraine,Married,4.0,"Doctorate, Dniepropetrovsk Metallurgical Institute",True,Doctorate, Dniepropetrovsk Metallurgical Institute,30.5241361,50.4500336,victor-pinchuk
Matthew Prince,2.5,United States,cybersecurity,1249,46.0,"Park City, Utah",United States,Married,,"Master of Business Administration, Harvard Business School; Bachelor of Arts/Science, Trinity College Connecticut; Doctor of Jurisprudence, University of Chicago",True,Master of Business Administration," Harvard Business School; Bachelor of Arts/Science, Trinity College Connecticut; Doctor of Jurisprudence, University of Chicago",-111.4979741,40.6460635,matthew-prince
John Pritzker,2.5,United States,"hotels, investments",1249,67.0,"San Francisco, California",United States,Divorced,3.0,"Bachelor of Arts/Science, Menlo College",False,Bachelor of Arts/Science, Menlo College,-122.419906,37.7790262,john-pritzker
Rajan Raheja & family,2.5,India,diversified,1249,66.0,"Mumbai, India",India,Married,2.0,"Bachelor of Arts/Science, Bombay University",False,Bachelor of Arts/Science, Bombay University,72.8773928,19.0759899,rajan-raheja
Matthias Reinhart,2.5,Switzerland,finance,1249,61.0,"Zurich, Switzerland",Switzerland,,,,True,,,8.5410422,47.3744489,matthias-reinhart
Ruan Shuilong & family,2.5,China,chemicals,1249,85.0,"Shangyu, China",China,,,,True,,,120.8641815,30.0348513,ruan-shuilong
Rodney Sacks,2.5,United States,energy drinks,1249,71.0,"Laguna Beach, California",United States,,,"Law Degree, University of Witwatersrand",True,Law Degree, University of Witwatersrand,-117.785366,33.5426975,rodney-sacks
Carlos Sanchez,2.5,Brazil,generic drugs,1249,59.0,"Santo Andre, Brazil",Brazil,Married,,,False,,,-46.5322504,-23.6573395,carlos-sanchez
Kavitark Ram Shriram,2.5,United States,"venture capital, Google",1249,64.0,"Menlo Park, California",United States,Married,2.0,"Bachelor of Arts/Science, University of Madras",True,Bachelor of Arts/Science, University of Madras,-122.1779927,37.4519671,kavitark-ram-shriram
André Street,2.5,Brazil,fintech,1249,37.0,Brazil,Brazil,Married,,"Bachelor of Arts/Economics, Fundacao Getulio Vargas; Certificate, Harvard Business School",True,Bachelor of Arts/Economics," Fundacao Getulio Vargas; Certificate, Harvard Business School",-53.2,-10.3333333,andré-street
Sun Mengquan & family,2.5,China,edible oil,1249,71.0,"Yantai, China",China,,,,True,,,121.4425255,37.461928,sun-mengquan
Daniel Sundheim,2.5,United States,hedge funds,1249,44.0,"New York, New York",United States,Married,,,True,,,-74.00601519999999,40.7127281,daniel-sundheim
Torsten Toeller,2.5,Germany,pet food,1249,55.0,"Krefeld, Germany",Germany,Married,,,True,,,6.5623343,51.3331205,torsten-toeller
Peter Unger,2.5,Germany,auto repair,1249,76.0,"Neustadt an der Waldnaab, Germany",Germany,Married,2.0,,True,,,12.1732938,49.7314121,peter-unger
Wang Wenmo,2.5,China,sports apparel,1249,64.0,"Quanzhou, China",China,,,,True,,,118.6723605,24.8755492,wang-wenmo
Xie Juhua & family,2.5,China,pharmaceuticals,1249,70.0,"Nanjing, China",China,Widowed,,,False,,,118.7916458,32.0609736,xie-juhua
Xu Shaochun,2.5,China,software,1249,58.0,"Shenzhen, China",China,,,,True,,,114.0543297,22.555454,xu-shaochun
Eddie & Sol Zakay,2.5,United Kingdom,real estate,1249,,"Monaco, Monaco",United Kingdom,Married,,,True,,,7.4276832,43.7323492,eddie-sol-zakay
Zhao Tao,2.5,Singapore,pharmaceuticals,1249,55.0,"Xi'an, China",Singapore,Married,,"Master of Business Administration, Fordham University",False,Master of Business Administration, Fordham University,108.9352154,34.3430507,zhao-tao
Michael Ashley,2.4,United Kingdom,sports retailing,1299,56.0,"Hertfordshire, United Kingdom",United Kingdom,Divorced,,,True,,,-0.0978552,51.8400523,michael-ashley
Yvonne Bauer,2.4,Germany,media,1299,44.0,"Hamburg, Germany",Germany,Married,,,False,,,10.000654,53.550341,yvonne-bauer
Alberto Bombassei,2.4,Italy,automotive brakes,1299,80.0,"Bergamo, Italy",Italy,Married,2.0,,False,,,9.7542192,45.7566557,alberto-bombassei
Richard Chandler,2.4,New Zealand,investments,1299,62.0,"Singapore, Singapore",New Zealand,Married,,,False,,,103.8194992,1.357107,richard-chandler
David Chen,2.4,Singapore,online games,1299,40.0,"Singapore, Singapore",Singapore,,,"Bachelor of Science, National University of Singapore",True,Bachelor of Science, National University of Singapore,103.8194992,1.357107,david-chen
Chen Jinxia,2.4,China,investments,1299,53.0,"Shanghai, China",China,Widowed,,"Bachelor of Arts/Science, Shanghai University of Finance and Economics",False,Bachelor of Arts/Science, Shanghai University of Finance and Economics,121.4692071,31.2322758,chen-jinxia
Chen Xiao Ying,2.4,China,health information,1299,58.0,"Hong Kong, Hong Kong",China,,,,True,,,114.1628131,22.2793278,chen-xiao-ying
Chen Xueli,2.4,China,pharmaceuticals,1299,69.0,"Weihai, China",China,,,,True,,,122.1152599,37.5120997,chen-xueli
Kiat Chiaravanont,2.4,Thailand,diversified,1299,,"Hong Kong, Hong Kong",Thailand,,,,False,,,114.1628131,22.2793278,kiat-chiaravanont
Todd Christopher,2.4,United States,hair care products,1299,58.0,"Clearwater, Florida",United States,Married,,,True,,,-82.8001026,27.9658533,todd-christopher
Mark Coombs,2.4,United Kingdom,finance,1299,60.0,"London, United Kingdom",United Kingdom,,,,True,,,-0.1276474,51.5073219,mark-coombs
Luigi Cremonini & family,2.4,Italy,meat processing,1299,82.0,"Modena, Italy",Italy,Married,4.0,,True,,,10.9359609,44.5384728,luigi-cremonini
Smita Crishna-Godrej,2.4,India,consumer goods,1299,70.0,"Mumbai, India",India,Married,2.0,,False,,,72.8773928,19.0759899,smita-crishna-godrej
Dai Lizhong,2.4,China,medical testing,1299,52.0,"Changsha, China",China,,,"Master of Science, Peking University; Ph.D, Princeton University",True,Master of Science," Peking University; Ph.D, Princeton University",112.9335861,28.2302056,dai-lizhong
Eduardo de Pontes,2.4,Brazil,payments processing,1299,41.0,"Rio de Janeiro, Brazil",Brazil,Married,,,True,,,-43.2093727,-22.9110137,eduardo-de-pontes
Chetan Dube,2.4,United States,technology,1299,55.0,"New York, New York",United States,,,"Bachelor of Science, Indian Institute of Technology Delhi",True,Bachelor of Science, Indian Institute of Technology Delhi,-74.00601519999999,40.7127281,chetan-dube
Stephen Feinberg,2.4,United States,private equity,1299,61.0,"New York, New York",United States,Married,3.0,"Bachelor of Arts/Science, Princeton University",True,Bachelor of Arts/Science, Princeton University,-74.00601519999999,40.7127281,stephen-feinberg
Abhay Firodia,2.4,India,automobiles,1299,76.0,"Pune, India",India,Married,4.0,,False,,,73.8544541,18.521428,abhay-firodia
Fu Mingkang & family,2.4,China,manufacturing,1299,58.0,"Ningbo, China",China,Married,,,True,,,121.6203873,29.8622194,fu-mingkang
Gao Jifan & family,2.4,China,solar equipment,1299,56.0,"Changzhou, China",China,Married,,"Master of Science, Jilin University; Bachelor of Science, Nanjing University",True,Master of Science," Jilin University; Bachelor of Science, Nanjing University",119.9691539,31.8122623,gao-jifan
Geng Jianming,2.4,China,real estate,1299,58.0,"Langfang, China",China,Married,1.0,"Master of Business Administration, Nanyang Technology University; Bachelor of Arts/Science, North China Institute of Astronautic Engineering",True,Master of Business Administration," Nanyang Technology University; Bachelor of Arts/Science, North China Institute of Astronautic Engineering",116.6997446,39.5128345,geng-jianming
Sebastian Glaser,2.4,Germany,sensor technology,1299,,"Munich, Germany",Germany,,,,False,,,11.5753822,48.1371079,sebastian-glaser
Adi Godrej,2.4,India,consumer goods,1299,79.0,"Mumbai, India",India,Widowed,3.0,"Bachelor of Arts/Science, Massachusetts Institute of Technology; Master of Science, Massachusetts Institute of Technology",False,Bachelor of Arts/Science," Massachusetts Institute of Technology; Master of Science, Massachusetts Institute of Technology",72.8773928,19.0759899,adi-godrej
Jamshyd Godrej,2.4,India,consumer goods,1299,72.0,"Mumbai, India",India,Married,2.0,"Bachelor of Science in Engineering, Illinois Institute of Technology",False,Bachelor of Science in Engineering, Illinois Institute of Technology,72.8773928,19.0759899,jamshyd-godrej
Nadir Godrej,2.4,India,consumer goods,1299,70.0,"Mumbai, India",India,Married,3.0,"Master of Business Administration, Harvard Business School; Bachelor of Science in Engineering, Massachusetts Institute of Technology; Master of Science in Engineering, Stanford University",False,Master of Business Administration," Harvard Business School; Bachelor of Science in Engineering, Massachusetts Institute of Technology; Master of Science in Engineering, Stanford University",72.8773928,19.0759899,nadir-godrej
Philip & Cristina Green,2.4,United Kingdom,fashion retail,1299,69.0,"London, United Kingdom",United Kingdom,Married,2.0,,True,,,-0.1276474,51.5073219,philip-cristina-green
Lawrence Ho,2.4,Hong Kong,casinos,1299,44.0,"Hong Kong, Hong Kong",Hong Kong,Married,1.0,"Bachelor of Arts/Science, University of Toronto",False,Bachelor of Arts/Science, University of Toronto,114.1628131,22.2793278,lawrence-ho
Donald Horton,2.4,United States,homebuilding,1299,71.0,"Fort Worth, Texas",United States,Married,2.0,"Bachelor of Arts/Science, University of Central Arkansas",True,Bachelor of Arts/Science, University of Central Arkansas,-97.33274590000001,32.753177,donald-horton
Douglas Hsu,2.4,Taiwan,diversified,1299,78.0,"Taipei, Taiwan",Taiwan,Married,3.0,"Bachelor of Arts/Science, Notre Dame University; Master of Arts, Notre Dame University",False,Bachelor of Arts/Science," Notre Dame University; Master of Arts, Notre Dame University",121.5636796,25.0375198,douglas-hsu
Koo Kwang-mo,2.4,South Korea,LG,1299,43.0,"Seoul, South Korea",South Korea,Married,,"Bachelor of Arts/Science, Rochester Institute of Technology; Master, Stanford Graduate School of Business",False,Bachelor of Arts/Science," Rochester Institute of Technology; Master, Stanford Graduate School of Business",126.9782914,37.5666791,koo-kwang-mo
Jonathan Kwok,2.4,Hong Kong,Real Estate,1299,29.0,"Hong Kong, Hong Kong",Hong Kong,,,"Bachelor of Business Administration, Cornell University",False,Bachelor of Business Administration, Cornell University,114.1628131,22.2793278,jonathan-kwok
Luo Yangyong & family,2.4,China,mining,1299,45.0,"Panzhihua, China",China,Married,,,True,,,101.7179276,26.5860102,luo-yangyong
Gail Miller,2.4,United States,car dealerships,1299,77.0,"Salt Lake City, Utah",United States,Married,5.0,"Drop Out, University of Utah",True,Drop Out, University of Utah,-111.8867975,40.7596198,gail-miller
Robert Miller,2.4,United Kingdom,retail,1299,75.0,"Montreal, Canada",Canada,Divorced,2.0,"Bachelor of Arts/Science, Rider University",True,Bachelor of Arts/Science, Rider University,-73.61036420000001,45.4972159,robert-miller
Vadim Moshkovich,2.4,Russia,"agriculture, land",1299,54.0,"Moscow, Russia",Russia,Married,3.0,"Bachelor of Arts/Science, Moscow Institute of Radioengineering, Electronics and Automation",True,Bachelor of Arts/Science," Moscow Institute of Radioengineering, Electronics and Automation",37.6174943,55.7504461,vadim-moshkovich
Erwin Franz Mueller,2.4,Germany,drugstores,1299,88.0,"Ulm, Germany",Germany,Married,1.0,,True,,,9.993433599999999,48.3974003,erwin-franz-mueller
Rishad Naoroji,2.4,India,consumer goods,1299,69.0,"Mumbai, India",India,Single,,"Associate in Arts/Science, Bombay University",False,Associate in Arts/Science, Bombay University,72.8773928,19.0759899,rishad-naoroji
Madhukar Parekh,2.4,India,adhesives,1299,75.0,"Mumbai, India",India,Married,2.0,"Bachelor of Science in Engineering, Bombay University; Master of Science, University of Wisconsin",False,Bachelor of Science in Engineering," Bombay University; Master of Science, University of Wisconsin",72.8773928,19.0759899,madhukar-parekh
Gregorio Perez Companc & family,2.4,Argentina,oil & gas,1299,85.0,"Buenos Aires, Argentina",Argentina,Married,7.0,"Drop Out, High School",True,Drop Out, High School,-58.4370894,-34.6075682,gregorio-perez-companc
Dmitry Pumpyansky,2.4,Russia,steel pipes,1299,57.0,"Yekaterinburg, Russia",Russia,Married,1.0,"Master of Science, Ural State Technical University",True,Master of Science, Ural State Technical University,60.60825,56.839104,dmitry-pumpyansky
Austin Russell,2.4,United States,★,1299,26.0,"Los Altos, California",United States,Single,,"Drop Out, Stanford University",True,Drop Out, Stanford University,-122.116578,37.3790629,austin-russell
Hussain Sajwani,2.4,United Arab Emirates,real estate,1299,68.0,"Dubai, United Arab Emirates",United Arab Emirates,Married,4.0,"Bachelor of Arts/Science, University of Washington",True,Bachelor of Arts/Science, University of Washington,55.1885387,25.0742823,hussain-sajwani
Jean Salata,2.4,Chile,finance,1299,55.0,"Hong Kong, Hong Kong",Chile,Married,,"Bachelor of Business Administration, University of Pennsylvania, The Wharton School",True,Bachelor of Business Administration," University of Pennsylvania, The Wharton School",114.1628131,22.2793278,jean-salata
Karin Sartorius-Herbst,2.4,Germany,biopharmaceuticals,1299,,"Northeim, Germany",Germany,,,,False,,,9.9972782,51.705401,karin-sartorius-herbst
Alice Schwartz,2.4,United States,biotech,1299,94.0,"El Cerrito, California",United States,Widowed,2.0,"Bachelor of Arts/Science, University of California, Berkeley",True,Bachelor of Arts/Science," University of California, Berkeley",-122.301411,37.9154056,alice-schwartz
Antonio Luiz Seabra,2.4,Brazil,cosmetics,1299,78.0,"London, United Kingdom",Brazil,Married,4.0,,True,,,-0.1276474,51.5073219,antonio-luiz-seabra
Shen Wenrong,2.4,China,steel production,1299,75.0,"Zhangjiagang, China",China,Married,2.0,,True,,,120.5514595,31.8782976,shen-wenrong
Renate Sick-Glaser,2.4,Germany,sensor technology,1299,,,Germany,,,,False,,,10.4234469,51.0834196,renate-sick-glaser
William Stone,2.4,United States,software,1299,66.0,"Naples, Florida",United States,Married,3.0,"Bachelor of Arts/Science, Marquette University",True,Bachelor of Arts/Science, Marquette University,-81.7954666,26.1452817,william-stone
Elizabeth Sy,2.4,Philippines,diversified,1299,68.0,"Manila, Philippines",Philippines,,,"Bachelor of Science, Maryknoll College",False,Bachelor of Science, Maryknoll College,120.9809674,14.5907332,elizabeth-sy
Tony Tan Caktiong & family,2.4,Philippines,food,1299,68.0,"Manila, Philippines",Philippines,Married,3.0,,True,,,120.9809674,14.5907332,tony-tan-caktiong
Tang Jinkui & family,2.4,China,"textiles, petrochemicals",1299,65.0,"Suzhou, China",China,Married,,,True,,,120.5810725,31.3016935,tang-jinkui
Roman Trotsenko,2.4,Russia,"transport, engineering, real estate",1299,50.0,"Moscow, Russia",Russia,Married,2.0,"Master of Laws, Moscow State University",True,Master of Laws, Moscow State University,37.6174943,55.7504461,roman-trotsenko
Donald Trump,2.4,United States,real estate,1299,74.0,"Palm Beach, Florida",United States,Married,5.0,"Fordham University; Bachelor of Arts/Science, University of Pennsylvania",False,Fordham University; Bachelor of Arts/Science, University of Pennsylvania,-80.4494174,26.6279798,donald-trump
T.Y. Tsai,2.4,Taiwan,finance,1299,68.0,"Taipei, Taiwan",Taiwan,Married,1.0,"EMBA, National Taiwan University; Bachelor of Arts/Science, Tokai University",False,EMBA," National Taiwan University; Bachelor of Arts/Science, Tokai University",121.5636796,25.0375198,t.y.-tsai
John Tyson,2.4,United States,food processing,1299,67.0,"Springdale, Arkansas",United States,Single,2.0,"Bachelor of Arts/Science, Southern Methodist University",False,Bachelor of Arts/Science, Southern Methodist University,-94.12881419999999,36.1867442,john-tyson
David Wertheim,2.4,Israel,Coca Cola Israel,1299,63.0,Israel,Israel,Married,6.0,,False,,,34.8667654,31.5313113,david-wertheim
Xiong Shaoming,2.4,China,e-cigarettes,1299,50.0,"Shenzhen, China",China,,,"Bachelor of Science, Wuhan University of Technology",True,Bachelor of Science, Wuhan University of Technology,114.0543297,22.555454,xiong-shaoming
Yang Jianliang & family,2.4,China,machinery,1299,51.0,"Wuxi, China",China,Married,,,True,,,120.3074357,31.4933074,yang-jianliang
Michael Ying,2.4,Hong Kong,retail,1299,71.0,"Hong Kong, Hong Kong",Hong Kong,Married,3.0,,True,,,114.1628131,22.2793278,michael-ying
Zhang Ning & family,2.4,Canada,chemicals,1299,47.0,"Shanghai, China",Canada,,,,True,,,121.4692071,31.2322758,zhang-ning
Zhang Zhixiang,2.4,China,steel,1299,54.0,"Beijing, China",China,,,"Doctorate, Zhejiang University of Technology",True,Doctorate, Zhejiang University of Technology,116.3912757,39.906217,zhang-zhixiang
Zhao Hongfei,2.4,China,software,1299,46.0,"Beijing, China",China,,,,True,,,116.3912757,39.906217,zhao-hongfei
Bill and Jean Adderley & family,2.3,United Kingdom,home furnishings,1362,73.0,"Leicester, United Kingdom",United Kingdom,Married,2.0,,True,,,-1.1330789,52.6361398,bill-and-jean-adderley
Bill Alfond,2.3,United States,shoes,1362,72.0,"Boston, Massachusetts",United States,Married,3.0,,False,,,-71.0582912,42.3602534,bill-alfond
Susan Alfond,2.3,United States,shoes,1362,75.0,"Scarborough, Maine",United States,,3.0,,False,,,-70.33925840000001,43.5902122,susan-alfond
Ted Alfond,2.3,United States,shoes,1362,76.0,"Weston, Massachusetts",United States,Married,3.0,,False,,,-71.3031132,42.3667625,ted-alfond
Carlos Ardila Lülle,2.3,Colombia,"soft drinks, diversified",1362,90.0,"Bogota, Colombia",Colombia,Married,,"Bachelor of Engineering, Universidad Nacional de Colombia",True,Bachelor of Engineering, Universidad Nacional de Colombia,-74.083652,4.6533326,carlos-ardila-lülle
Semahat Sevim Arsel,2.3,Turkey,diversified,1362,92.0,"Istanbul, Turkey",Turkey,Married,,,False,,,28.9651646,41.0096334,semahat-sevim-arsel
Sezai Bacaksiz,2.3,Turkey,diversified,1362,71.0,"Ankara, Turkey",Turkey,Married,2.0,,True,,,32.8540412,39.9207893,sezai-bacaksiz
Suhail Bahwan,2.3,Oman,diversified,1362,82.0,"Muscat, Oman",Oman,Married,15.0,,True,,,58.3829448,23.5882019,suhail-bahwan
Bang Jun-hyuk,2.3,South Korea,online gaming,1362,52.0,"Seoul, South Korea",South Korea,Married,3.0,,True,,,126.9782914,37.5666791,bang-jun-hyuk
Bang Shi-hyuk,2.3,South Korea,entertainment,1362,48.0,"Seoul, South Korea",South Korea,Single,,,True,,,126.9782914,37.5666791,bang-shi-hyuk
Anand Burman,2.3,India,consumer goods,1362,69.0,"New Delhi, India",India,Married,2.0,"Bachelor of Arts / Science, University of Kansas",False,Bachelor of Arts / Science, University of Kansas,77.20900570000001,28.6138954,anand-burman
Cao Longxiang & family,2.3,China,pharmaceuticals,1362,63.0,"Taixing, China",China,Married,,,True,,,120.0160999,32.1696072,cao-longxiang
Vanich Chaiyawan,2.3,Thailand,"insurance, beverages",1362,89.0,"Bangkok, Thailand",Thailand,Married,8.0,,True,,,100.4930399,13.7544238,vanich-chaiyawan
Chen Zhisong,2.3,China,communication equipment,1362,55.0,"Xiamen, China",China,,,"Bachelor of Arts/Science, Xiamen University",True,Bachelor of Arts/Science, Xiamen University,118.0853479,24.4801069,chen-zhisong
Jim Coulter,2.3,United States,private equity,1362,61.0,"San Francisco, California",United States,Married,3.0,"Bachelor of Arts/Science, Dartmouth College; Master of Business Administration, Stanford University",True,Bachelor of Arts/Science," Dartmouth College; Master of Business Administration, Stanford University",-122.419906,37.7790262,jim-coulter
"Edward DeBartolo, Jr.",2.3,United States,shopping centers,1362,74.0,"Tampa, Florida",United States,Married,3.0,"Bachelor of Arts/Science, Notre Dame University",False,Bachelor of Arts/Science, Notre Dame University,-82.458444,27.9477595,"edward-debartolo,-jr."
Maria Del Pino,2.3,Spain,construction,1362,65.0,"Madrid, Spain",Spain,Married,3.0,"Bachelor of Arts/Science, IESE Business School",False,Bachelor of Arts/Science, IESE Business School,-3.7035825,40.4167047,maria-del-pino
